Lifter Name;Age;Weight Class;Lift Type;Amount Lifted (kg)
Emily Davis;35;105 kg;Bench Press;153
Daniel Lee;61;59 kg;Bench Press;243
Emily Davis;56;83 kg;Bench Press;228
Daniel Lee;37;59 kg;Bench Press;388
Jessica Wilson;22;59 kg;Bench Press;383
Jessica Wilson;34;66 kg;Bench Press;302
Emily Davis;58;59 kg;Bench Press;337
Matthew Anderson;41;120 kg;Bench Press;328
Sarah Thomas;40;120 kg;Bench Press;253
Daniel Lee;32;74 kg;Bench Press;186
Laura Taylor;49;83 kg;Bench Press;150
Jessica Wilson;38;83 kg;Bench Press;211
Jane Smith;36;52 kg;Bench Press;258
Emily Davis;62;66 kg;Bench Press;120
Sarah Thomas;36;59 kg;Bench Press;372
Michael Johnson;49;Open;Bench Press;124
Matthew Anderson;28;74 kg;Bench Press;209
Emily Davis;56;105 kg;Bench Press;100
Jane Smith;24;120 kg;Bench Press;115
Michael Johnson;21;66 kg;Bench Press;143
Jane Smith;45;74 kg;Bench Press;159
Laura Taylor;30;93 kg;Bench Press;112
Jane Smith;61;Open;Bench Press;392
Daniel Lee;52;105 kg;Bench Press;139
Daniel Lee;19;74 kg;Bench Press;295
Emily Davis;64;52 kg;Bench Press;249
Laura Taylor;61;74 kg;Bench Press;393
Sarah Thomas;43;52 kg;Bench Press;349
Chris Brown;60;74 kg;Bench Press;391
Sarah Thomas;22;74 kg;Bench Press;343
Sarah Thomas;19;105 kg;Bench Press;202
Michael Johnson;41;59 kg;Bench Press;339
Chris Brown;41;105 kg;Bench Press;279
Emily Davis;43;105 kg;Bench Press;387
Michael Johnson;18;83 kg;Bench Press;182
Emily Davis;18;Open;Bench Press;183
Chris Brown;26;93 kg;Bench Press;255
Chris Brown;29;59 kg;Bench Press;337
Michael Johnson;55;120 kg;Bench Press;153
Chris Brown;43;83 kg;Bench Press;277
Daniel Lee;55;120 kg;Bench Press;117
Chris Brown;30;105 kg;Bench Press;392
Sarah Thomas;34;83 kg;Bench Press;104
Sarah Thomas;23;74 kg;Bench Press;220
Laura Taylor;45;Open;Bench Press;269
John Doe;48;120 kg;Bench Press;392
Sarah Thomas;42;120 kg;Bench Press;150
Chris Brown;64;59 kg;Bench Press;198
Matthew Anderson;21;105 kg;Bench Press;379
Michael Johnson;54;120 kg;Bench Press;322
Emily Davis;35;66 kg;Bench Press;250
John Doe;42;105 kg;Bench Press;287
Emily Davis;53;52 kg;Bench Press;162
Daniel Lee;19;66 kg;Bench Press;276
Emily Davis;30;74 kg;Bench Press;221
Sarah Thomas;38;59 kg;Bench Press;345
Michael Johnson;62;66 kg;Bench Press;107
Chris Brown;31;66 kg;Bench Press;172
Daniel Lee;52;59 kg;Bench Press;304
Laura Taylor;56;Open;Bench Press;173
Jessica Wilson;43;93 kg;Bench Press;293
Jane Smith;27;59 kg;Bench Press;386
Daniel Lee;18;59 kg;Bench Press;288
Michael Johnson;41;105 kg;Bench Press;217
Emily Davis;58;74 kg;Bench Press;380
Sarah Thomas;63;59 kg;Bench Press;398
Emily Davis;55;74 kg;Bench Press;334
Matthew Anderson;55;Open;Bench Press;198
Chris Brown;52;59 kg;Bench Press;369
Jane Smith;48;105 kg;Bench Press;127
Jessica Wilson;55;66 kg;Bench Press;265
Chris Brown;54;93 kg;Bench Press;242
Matthew Anderson;26;105 kg;Bench Press;332
Jessica Wilson;38;105 kg;Bench Press;299
Jessica Wilson;43;105 kg;Bench Press;138
Daniel Lee;51;66 kg;Bench Press;339
Chris Brown;42;74 kg;Bench Press;341
Emily Davis;48;59 kg;Bench Press;234
Jessica Wilson;60;52 kg;Bench Press;303
Jane Smith;36;74 kg;Bench Press;353
Chris Brown;58;105 kg;Bench Press;130
John Doe;55;105 kg;Bench Press;112
Emily Davis;54;59 kg;Bench Press;370
Chris Brown;18;52 kg;Bench Press;284
Matthew Anderson;18;Open;Bench Press;235
John Doe;54;52 kg;Bench Press;343
Sarah Thomas;32;59 kg;Bench Press;170
Jane Smith;33;120 kg;Bench Press;143
Daniel Lee;38;66 kg;Bench Press;352
Michael Johnson;23;83 kg;Bench Press;306
John Doe;42;105 kg;Bench Press;370
Daniel Lee;31;105 kg;Bench Press;233
Jane Smith;33;105 kg;Bench Press;376
Emily Davis;61;59 kg;Bench Press;373
Laura Taylor;39;Open;Bench Press;391
Jessica Wilson;47;93 kg;Bench Press;196
Chris Brown;27;74 kg;Bench Press;328
Jessica Wilson;42;66 kg;Bench Press;227
Emily Davis;38;52 kg;Bench Press;287
Jane Smith;37;59 kg;Bench Press;387
Jessica Wilson;58;93 kg;Bench Press;270
Jessica Wilson;21;83 kg;Bench Press;228
Daniel Lee;56;83 kg;Bench Press;281
Matthew Anderson;51;52 kg;Bench Press;317
Jessica Wilson;45;74 kg;Bench Press;119
Sarah Thomas;64;59 kg;Bench Press;171
Jane Smith;46;83 kg;Bench Press;131
Emily Davis;53;74 kg;Bench Press;262
Jane Smith;43;83 kg;Bench Press;320
Laura Taylor;43;83 kg;Bench Press;223
Laura Taylor;47;105 kg;Bench Press;138
Matthew Anderson;57;52 kg;Bench Press;299
John Doe;59;93 kg;Bench Press;200
Sarah Thomas;30;Open;Bench Press;138
Matthew Anderson;50;66 kg;Bench Press;337
Jessica Wilson;64;83 kg;Bench Press;129
Daniel Lee;54;74 kg;Bench Press;214
Laura Taylor;54;105 kg;Bench Press;313
John Doe;33;66 kg;Bench Press;135
Daniel Lee;42;120 kg;Bench Press;317
Laura Taylor;64;Open;Bench Press;190
Matthew Anderson;23;66 kg;Bench Press;143
Chris Brown;23;120 kg;Bench Press;355
Chris Brown;38;66 kg;Bench Press;362
Michael Johnson;43;93 kg;Bench Press;256
Sarah Thomas;27;74 kg;Bench Press;332
Jessica Wilson;56;74 kg;Bench Press;353
Chris Brown;43;66 kg;Bench Press;347
Michael Johnson;60;120 kg;Bench Press;347
Michael Johnson;59;93 kg;Bench Press;181
Jane Smith;59;66 kg;Bench Press;265
John Doe;44;120 kg;Bench Press;394
Daniel Lee;45;83 kg;Bench Press;361
Matthew Anderson;48;105 kg;Bench Press;270
Daniel Lee;54;120 kg;Bench Press;380
Laura Taylor;44;52 kg;Bench Press;261
Jane Smith;41;Open;Bench Press;121
Laura Taylor;34;66 kg;Bench Press;251
Matthew Anderson;36;59 kg;Bench Press;347
Daniel Lee;25;83 kg;Bench Press;223
Emily Davis;52;Open;Bench Press;316
Laura Taylor;18;74 kg;Bench Press;266
John Doe;31;59 kg;Bench Press;147
Laura Taylor;56;105 kg;Bench Press;366
Jane Smith;43;Open;Bench Press;294
Jessica Wilson;23;93 kg;Bench Press;329
Jessica Wilson;59;59 kg;Bench Press;359
Matthew Anderson;31;105 kg;Bench Press;368
Jane Smith;59;120 kg;Bench Press;224
Laura Taylor;19;59 kg;Bench Press;296
Jessica Wilson;32;59 kg;Bench Press;226
Jane Smith;34;Open;Bench Press;226
Michael Johnson;40;52 kg;Bench Press;153
John Doe;45;Open;Bench Press;292
John Doe;30;83 kg;Bench Press;327
Jessica Wilson;27;52 kg;Bench Press;349
Laura Taylor;20;74 kg;Bench Press;197
Chris Brown;59;52 kg;Bench Press;327
Jane Smith;56;74 kg;Bench Press;284
Sarah Thomas;35;83 kg;Bench Press;111
Daniel Lee;33;66 kg;Bench Press;127
Jessica Wilson;55;74 kg;Bench Press;346
John Doe;54;52 kg;Bench Press;323
Chris Brown;56;83 kg;Bench Press;308
Emily Davis;24;120 kg;Bench Press;277
Jessica Wilson;34;74 kg;Bench Press;248
Laura Taylor;52;93 kg;Bench Press;253
Michael Johnson;50;52 kg;Bench Press;342
Chris Brown;50;59 kg;Bench Press;302
John Doe;42;93 kg;Bench Press;232
Laura Taylor;45;66 kg;Bench Press;297
John Doe;38;74 kg;Bench Press;361
Chris Brown;22;66 kg;Bench Press;257
Daniel Lee;32;Open;Bench Press;390
John Doe;42;Open;Bench Press;315
Laura Taylor;57;93 kg;Bench Press;138
Daniel Lee;61;74 kg;Bench Press;155
Jessica Wilson;54;59 kg;Bench Press;180
John Doe;51;74 kg;Bench Press;234
Laura Taylor;50;120 kg;Bench Press;147
John Doe;20;120 kg;Bench Press;124
Chris Brown;60;59 kg;Bench Press;312
Matthew Anderson;45;74 kg;Bench Press;339
Laura Taylor;25;66 kg;Bench Press;162
Sarah Thomas;19;52 kg;Bench Press;396
Sarah Thomas;21;66 kg;Bench Press;388
Sarah Thomas;43;74 kg;Bench Press;225
Daniel Lee;41;59 kg;Bench Press;127
Emily Davis;40;59 kg;Bench Press;194
Chris Brown;32;93 kg;Bench Press;138
Emily Davis;59;66 kg;Bench Press;346
Emily Davis;37;120 kg;Bench Press;277
Laura Taylor;53;120 kg;Bench Press;136
Matthew Anderson;44;59 kg;Bench Press;333
Michael Johnson;58;59 kg;Bench Press;157
John Doe;31;Open;Bench Press;155
Michael Johnson;62;105 kg;Bench Press;353
Jane Smith;47;120 kg;Bench Press;246
John Doe;49;120 kg;Bench Press;262
Jane Smith;48;Open;Bench Press;124
Jessica Wilson;56;93 kg;Bench Press;167
Emily Davis;49;105 kg;Bench Press;311
John Doe;52;93 kg;Bench Press;256
Emily Davis;23;59 kg;Bench Press;330
Daniel Lee;60;74 kg;Bench Press;327
Chris Brown;33;74 kg;Bench Press;348
Jessica Wilson;46;52 kg;Bench Press;328
Jessica Wilson;31;83 kg;Bench Press;339
John Doe;33;83 kg;Bench Press;194
Chris Brown;33;Open;Bench Press;189
Michael Johnson;24;74 kg;Bench Press;364
Michael Johnson;51;93 kg;Bench Press;399
Laura Taylor;44;105 kg;Bench Press;321
John Doe;50;Open;Bench Press;388
Laura Taylor;64;59 kg;Bench Press;219
Laura Taylor;57;120 kg;Bench Press;142
Jessica Wilson;41;74 kg;Bench Press;376
Michael Johnson;27;83 kg;Bench Press;269
Daniel Lee;47;52 kg;Bench Press;371
Emily Davis;31;105 kg;Bench Press;156
John Doe;41;83 kg;Bench Press;218
Emily Davis;29;59 kg;Bench Press;389
Laura Taylor;40;105 kg;Bench Press;173
John Doe;27;93 kg;Bench Press;317
Emily Davis;53;59 kg;Bench Press;336
Jessica Wilson;34;120 kg;Bench Press;111
Michael Johnson;40;59 kg;Bench Press;161
Laura Taylor;38;74 kg;Bench Press;212
Emily Davis;42;66 kg;Bench Press;339
Daniel Lee;51;59 kg;Bench Press;342
Jane Smith;38;Open;Bench Press;350
John Doe;39;59 kg;Bench Press;387
Michael Johnson;62;59 kg;Bench Press;348
Emily Davis;36;52 kg;Bench Press;190
John Doe;18;74 kg;Bench Press;397
Matthew Anderson;40;52 kg;Bench Press;215
Emily Davis;29;74 kg;Bench Press;394
Emily Davis;42;105 kg;Bench Press;375
Jane Smith;46;59 kg;Bench Press;244
John Doe;58;74 kg;Bench Press;199
Daniel Lee;27;83 kg;Bench Press;371
Sarah Thomas;28;93 kg;Bench Press;370
Jessica Wilson;55;83 kg;Bench Press;276
Jane Smith;58;105 kg;Bench Press;141
Daniel Lee;52;83 kg;Bench Press;312
Daniel Lee;36;66 kg;Bench Press;156
Matthew Anderson;48;120 kg;Bench Press;130
Matthew Anderson;31;83 kg;Bench Press;390
Jane Smith;34;66 kg;Bench Press;158
Matthew Anderson;58;83 kg;Bench Press;341
Laura Taylor;63;120 kg;Bench Press;185
Jessica Wilson;29;59 kg;Bench Press;180
Michael Johnson;47;66 kg;Bench Press;244
Sarah Thomas;29;74 kg;Bench Press;165
Jessica Wilson;27;52 kg;Bench Press;269
Jane Smith;44;52 kg;Bench Press;355
Sarah Thomas;50;59 kg;Bench Press;378
Jane Smith;44;93 kg;Bench Press;282
Michael Johnson;30;59 kg;Bench Press;155
Emily Davis;58;120 kg;Bench Press;200
John Doe;50;83 kg;Bench Press;310
Matthew Anderson;30;93 kg;Bench Press;290
Daniel Lee;34;66 kg;Bench Press;198
Matthew Anderson;64;93 kg;Bench Press;191
Sarah Thomas;54;120 kg;Bench Press;390
Michael Johnson;43;52 kg;Bench Press;334
Chris Brown;51;66 kg;Bench Press;195
Michael Johnson;51;66 kg;Bench Press;292
Emily Davis;64;Open;Bench Press;257
Michael Johnson;53;52 kg;Bench Press;305
Jane Smith;57;Open;Bench Press;375
Matthew Anderson;48;59 kg;Bench Press;193
John Doe;29;Open;Bench Press;164
Chris Brown;44;Open;Bench Press;289
Jane Smith;24;83 kg;Bench Press;218
Sarah Thomas;62;83 kg;Bench Press;243
Michael Johnson;62;105 kg;Bench Press;286
Matthew Anderson;30;120 kg;Bench Press;305
Matthew Anderson;50;59 kg;Bench Press;215
Matthew Anderson;43;66 kg;Bench Press;248
Matthew Anderson;38;Open;Bench Press;213
Sarah Thomas;26;52 kg;Bench Press;199
Chris Brown;56;120 kg;Bench Press;370
Jane Smith;57;83 kg;Bench Press;261
John Doe;33;Open;Bench Press;154
Laura Taylor;22;93 kg;Bench Press;194
Michael Johnson;44;59 kg;Bench Press;242
John Doe;44;Open;Bench Press;285
Daniel Lee;30;74 kg;Bench Press;285
Michael Johnson;40;83 kg;Bench Press;255
Daniel Lee;23;66 kg;Bench Press;348
Daniel Lee;36;66 kg;Bench Press;275
Emily Davis;62;83 kg;Bench Press;151
Jessica Wilson;64;83 kg;Bench Press;335
Emily Davis;41;66 kg;Bench Press;200
Michael Johnson;27;66 kg;Bench Press;263
Sarah Thomas;44;93 kg;Bench Press;117
Jane Smith;51;74 kg;Bench Press;159
Jane Smith;60;52 kg;Bench Press;171
Chris Brown;38;120 kg;Bench Press;168
Jessica Wilson;23;59 kg;Bench Press;110
Jessica Wilson;18;Open;Bench Press;215
Sarah Thomas;33;93 kg;Bench Press;258
Laura Taylor;35;105 kg;Bench Press;343
Laura Taylor;47;74 kg;Bench Press;181
Jane Smith;49;59 kg;Bench Press;207
Chris Brown;56;120 kg;Bench Press;291
Laura Taylor;23;74 kg;Bench Press;378
Sarah Thomas;61;120 kg;Bench Press;190
Daniel Lee;19;66 kg;Bench Press;364
Emily Davis;59;120 kg;Bench Press;393
Michael Johnson;50;Open;Bench Press;238
Jane Smith;41;59 kg;Bench Press;242
Emily Davis;42;105 kg;Bench Press;359
Laura Taylor;56;52 kg;Bench Press;284
Laura Taylor;51;93 kg;Bench Press;205
Jessica Wilson;48;83 kg;Bench Press;268
Jane Smith;21;74 kg;Bench Press;212
Matthew Anderson;26;66 kg;Bench Press;266
Jessica Wilson;21;83 kg;Bench Press;314
John Doe;29;105 kg;Bench Press;297
Sarah Thomas;38;93 kg;Bench Press;100
Chris Brown;64;93 kg;Bench Press;147
Emily Davis;56;52 kg;Bench Press;296
Laura Taylor;29;83 kg;Bench Press;270
Emily Davis;18;66 kg;Bench Press;207
Jane Smith;24;52 kg;Bench Press;302
Laura Taylor;51;52 kg;Bench Press;162
Jane Smith;48;83 kg;Bench Press;397
Michael Johnson;57;52 kg;Bench Press;286
Sarah Thomas;64;74 kg;Bench Press;313
Matthew Anderson;61;93 kg;Bench Press;202
Matthew Anderson;43;120 kg;Bench Press;393
Jane Smith;55;74 kg;Bench Press;202
Michael Johnson;41;Open;Bench Press;364
Jane Smith;53;93 kg;Bench Press;225
John Doe;52;105 kg;Bench Press;266
Michael Johnson;38;120 kg;Bench Press;102
Laura Taylor;54;Open;Bench Press;361
Daniel Lee;57;59 kg;Bench Press;151
Sarah Thomas;25;52 kg;Bench Press;164
Chris Brown;38;93 kg;Bench Press;394
Chris Brown;40;52 kg;Bench Press;281
Emily Davis;39;93 kg;Bench Press;284
Daniel Lee;52;59 kg;Bench Press;183
Sarah Thomas;34;93 kg;Bench Press;236
Emily Davis;46;83 kg;Bench Press;183
Emily Davis;44;52 kg;Bench Press;250
Matthew Anderson;45;52 kg;Bench Press;120
Jessica Wilson;49;120 kg;Bench Press;162
Jane Smith;41;93 kg;Bench Press;329
Daniel Lee;31;52 kg;Bench Press;365
Chris Brown;38;74 kg;Bench Press;376
Jessica Wilson;48;74 kg;Bench Press;256
John Doe;53;59 kg;Bench Press;144
Jane Smith;23;120 kg;Bench Press;219
Michael Johnson;53;120 kg;Bench Press;309
Sarah Thomas;27;83 kg;Bench Press;159
Michael Johnson;63;52 kg;Bench Press;155
Jessica Wilson;38;74 kg;Bench Press;148
Laura Taylor;56;74 kg;Bench Press;186
Emily Davis;59;105 kg;Bench Press;390
Michael Johnson;44;59 kg;Bench Press;329
Emily Davis;42;120 kg;Bench Press;185
Laura Taylor;46;105 kg;Bench Press;256
Jessica Wilson;59;74 kg;Bench Press;291
Emily Davis;37;74 kg;Bench Press;334
Sarah Thomas;20;Open;Bench Press;280
Emily Davis;60;66 kg;Bench Press;176
Daniel Lee;19;59 kg;Bench Press;148
Daniel Lee;35;83 kg;Bench Press;115
Jessica Wilson;32;74 kg;Bench Press;291
Laura Taylor;23;66 kg;Bench Press;325
Chris Brown;24;66 kg;Bench Press;175
Laura Taylor;59;74 kg;Bench Press;236
Matthew Anderson;61;66 kg;Bench Press;260
Sarah Thomas;30;105 kg;Bench Press;371
Emily Davis;58;74 kg;Bench Press;150
Daniel Lee;50;120 kg;Bench Press;380
Jessica Wilson;38;66 kg;Bench Press;244
Emily Davis;62;52 kg;Bench Press;342
Laura Taylor;41;105 kg;Bench Press;248
Jessica Wilson;52;83 kg;Bench Press;378
Daniel Lee;59;74 kg;Bench Press;163
Laura Taylor;53;66 kg;Bench Press;242
John Doe;56;59 kg;Bench Press;126
Jane Smith;19;66 kg;Bench Press;304
Daniel Lee;51;93 kg;Bench Press;394
Matthew Anderson;21;59 kg;Bench Press;392
Laura Taylor;40;Open;Bench Press;204
Jane Smith;61;93 kg;Bench Press;185
Michael Johnson;48;66 kg;Bench Press;396
Daniel Lee;43;83 kg;Bench Press;130
Daniel Lee;27;105 kg;Bench Press;307
Emily Davis;29;93 kg;Bench Press;196
Chris Brown;53;Open;Bench Press;383
Jane Smith;20;120 kg;Bench Press;264
Sarah Thomas;53;Open;Bench Press;143
Chris Brown;59;52 kg;Bench Press;136
Michael Johnson;41;Open;Bench Press;114
Jane Smith;53;93 kg;Bench Press;246
Jane Smith;34;120 kg;Bench Press;314
Sarah Thomas;38;105 kg;Bench Press;218
Matthew Anderson;49;66 kg;Bench Press;327
Daniel Lee;63;83 kg;Bench Press;370
Jane Smith;54;93 kg;Bench Press;279
Michael Johnson;26;59 kg;Bench Press;205
Chris Brown;43;52 kg;Bench Press;206
Sarah Thomas;55;83 kg;Bench Press;392
Matthew Anderson;50;66 kg;Bench Press;391
Jessica Wilson;58;Open;Bench Press;121
Daniel Lee;31;66 kg;Bench Press;387
Chris Brown;50;Open;Bench Press;234
Sarah Thomas;39;66 kg;Bench Press;287
John Doe;58;105 kg;Bench Press;286
Emily Davis;31;52 kg;Bench Press;350
Jessica Wilson;52;105 kg;Bench Press;388
John Doe;57;105 kg;Bench Press;344
Jane Smith;29;Open;Bench Press;113
Sarah Thomas;36;93 kg;Bench Press;346
Emily Davis;23;59 kg;Bench Press;304
Emily Davis;28;93 kg;Bench Press;393
John Doe;30;74 kg;Bench Press;304
Jane Smith;59;120 kg;Bench Press;178
Michael Johnson;35;Open;Bench Press;383
Chris Brown;58;66 kg;Bench Press;106
Matthew Anderson;60;120 kg;Bench Press;345
Sarah Thomas;22;93 kg;Bench Press;309
Jane Smith;18;93 kg;Bench Press;177
Daniel Lee;40;105 kg;Bench Press;265
